Model,Name,Read,Write,Create,Delete,Access_Level
ir.autovacuum,Automatic Vacuum,Yes,No,No,No,READ-ONLY
ir.binary,File streaming helper model for controllers,Yes,No,No,No,READ-ONLY
ir.config_parameter,System Parameter,No,No,No,No,NO ACCESS
ir.cron,Scheduled Actions,No,No,No,No,NO ACCESS
ir.cron.trigger,Triggered actions,Yes,No,No,No,READ-ONLY
ir.default,Default Values,Yes,Yes,Yes,Yes,FULL (RWCD)
ir.exports,Exports,Yes,No,No,No,READ-ONLY
ir.exports.line,Exports Line,Yes,Yes,Yes,Yes,FULL (RWCD)
ir.fields.converter,Fields Converter,Yes,No,No,No,READ-ONLY
ir.filters,Filters,Yes,Yes,Yes,Yes,FULL (RWCD)
ir.http,HTTP Routing,Yes,No,No,No,READ-ONLY
ir.logging,Logging,Yes,No,No,No,READ-ONLY
ir.mail_server,Mail Server,Yes,No,No,No,READ-ONLY
ir.model,Models,Yes,No,No,No,READ-ONLY
ir.model.access,Model Access,No,No,No,No,NO ACCESS
ir.model.constraint,Model Constraint,Yes,No,No,No,READ-ONLY
ir.model.data,Model Data,Yes,No,No,No,READ-ONLY
ir.model.fields,Fields,No,No,No,No,NO ACCESS
ir.model.fields.selection,Fields Selection,Yes,No,No,No,READ-ONLY
ir.model.inherit,Model Inheritance Tree,Yes,No,No,No,READ-ONLY
ir.model.relation,Relation Model,Yes,No,No,No,READ-ONLY
ir.module.category,Application,Yes,No,No,No,READ-ONLY
ir.module.module,Module,Yes,No,No,No,READ-ONLY
ir.module.module.dependency,Module dependency,Yes,No,No,No,READ-ONLY
ir.module.module.exclusion,Module exclusion,Yes,No,No,No,READ-ONLY
ir.profile,Profiling results,Yes,No,No,No,READ-ONLY
ir.property,Company Property,No,No,No,No,NO ACCESS
ir.qweb,Qweb,Yes,No,No,No,READ-ONLY
ir.qweb.field,Qweb Field,Yes,No,No,No,READ-ONLY
ir.qweb.field.barcode,Qweb Field Barcode,Yes,No,No,No,READ-ONLY
ir.qweb.field.contact,Qweb Field Contact,Yes,No,No,No,READ-ONLY
ir.qweb.field.date,Qweb Field Date,Yes,No,No,No,READ-ONLY
ir.qweb.field.datetime,Qweb Field Datetime,Yes,No,No,No,READ-ONLY
ir.qweb.field.duration,Qweb Field Duration,Yes,No,No,No,READ-ONLY
ir.qweb.field.float,Qweb Field Float,Yes,No,No,No,READ-ONLY
ir.qweb.field.float_time,Qweb Field Float Time,Yes,No,No,No,READ-ONLY
ir.qweb.field.html,Qweb Field HTML,Yes,No,No,No,READ-ONLY
ir.qweb.field.image,Qweb Field Image,Yes,No,No,No,READ-ONLY
ir.qweb.field.image_url,Qweb Field Image,Yes,No,No,No,READ-ONLY
ir.qweb.field.integer,Qweb Field Integer,Yes,No,No,No,READ-ONLY
ir.qweb.field.many2many,Qweb field many2many,Yes,No,No,No,READ-ONLY
ir.qweb.field.many2one,Qweb Field Many to One,Yes,No,No,No,READ-ONLY
ir.qweb.field.monetary,Qweb Field Monetary,Yes,No,No,No,READ-ONLY
ir.qweb.field.qweb,Qweb Field qweb,Yes,No,No,No,READ-ONLY
ir.qweb.field.relative,Qweb Field Relative,Yes,No,No,No,READ-ONLY
ir.qweb.field.selection,Qweb Field Selection,Yes,No,No,No,READ-ONLY
ir.qweb.field.text,Qweb Field Text,Yes,No,No,No,READ-ONLY
ir.qweb.field.time,QWeb Field Time,Yes,No,No,No,READ-ONLY
ir.rule,Rule,No,No,No,No,NO ACCESS
ir.sequence,Sequence,Yes,No,No,No,READ-ONLY
ir.sequence.date_range,Sequence Date Range,Yes,No,No,No,READ-ONLY
ir.ui.menu,Menu,Yes,No,No,No,READ-ONLY
ir.ui.view,View,No,No,No,No,NO ACCESS
ir.ui.view.custom,Custom View,Yes,No,No,No,READ-ONLY
ir.websocket,websocket message handling,Yes,No,No,No,READ-ONLY
ir_actions_account_report_download,Technical model for accounting report downloads,Yes,No,No,No,READ-ONLY
lead.closemonth,lead.closemonth,Yes,Yes,Yes,Yes,FULL (RWCD)
link.tracker,Link Tracker,Yes,No,No,No,READ-ONLY
link.tracker.click,Link Tracker Click,Yes,No,No,No,READ-ONLY
link.tracker.code,Link Tracker Code,Yes,No,No,No,READ-ONLY
lost.message.parent,Lost Message Parent,Yes,No,No,No,READ-ONLY
mail.activity,Activity,Yes,Yes,Yes,Yes,FULL (RWCD)
mail.activity.mixin,Activity Mixin,No,No,No,No,NO ACCESS
mail.activity.plan,Activity Plan,Yes,No,No,No,READ-ONLY
mail.activity.plan.template,Activity plan template,Yes,No,No,No,READ-ONLY
mail.activity.type,Activity Type,Yes,No,No,No,READ-ONLY
mail.alias,Email Aliases,Yes,No,No,No,READ-ONLY
mail.alias.domain,Email Domain,Yes,No,No,No,READ-ONLY
mail.alias.mixin,Email Aliases Mixin,No,No,No,No,NO ACCESS
mail.alias.mixin.optional,Email Aliases Mixin (light),No,No,No,No,NO ACCESS
mail.blacklist,Mail Blacklist,No,No,No,No,NO ACCESS
mail.composer.mixin,Mail Composer Mixin,No,No,No,No,NO ACCESS
mail.followers,Document Followers,Yes,No,No,No,READ-ONLY
mail.gateway.allowed,Mail Gateway Allowed,No,No,No,No,NO ACCESS
mail.group,Mail Group,Yes,Yes,Yes,Yes,FULL (RWCD)
mail.group.member,Mailing List Member,Yes,Yes,Yes,Yes,FULL (RWCD)
mail.group.message,Mailing List Message,Yes,Yes,Yes,Yes,FULL (RWCD)
mail.group.moderation,Mailing List black/white list,Yes,Yes,Yes,Yes,FULL (RWCD)
mail.guest,Guest,Yes,No,No,No,READ-ONLY
mail.ice.server,ICE server,No,No,No,No,NO ACCESS
mail.link.preview,Store link preview data,No,No,No,No,NO ACCESS
mail.mail,Outgoing Mails,No,No,No,No,NO ACCESS
mail.message,Message,Yes,Yes,Yes,Yes,FULL (RWCD)
mail.message.reaction,Message Reaction,No,No,No,No,NO ACCESS
mail.message.schedule,Scheduled Messages,No,No,No,No,NO ACCESS
mail.message.subtype,Message subtypes,Yes,No,No,No,READ-ONLY
mail.message.translation,Message Translation,No,No,No,No,NO ACCESS
mail.notification,Message Notifications,Yes,Yes,Yes,No,RWC
mail.notification.web.push,Cron data used for web push notification,No,No,No,No,NO ACCESS
mail.partner.device,Partner Web Push Device,No,No,No,No,NO ACCESS
mail.render.mixin,Mail Render Mixin,No,No,No,No,NO ACCESS
mail.shortcode,Canned Response / Shortcode,Yes,Yes,Yes,Yes,FULL (RWCD)
mail.template,Email Templates,Yes,Yes,Yes,Yes,FULL (RWCD)
mail.thread,Email Thread,No,No,No,No,NO ACCESS
mail.thread.blacklist,Mail Blacklist mixin,No,No,No,No,NO ACCESS
mail.thread.cc,Email CC management,No,No,No,No,NO ACCESS
mail.thread.main.attachment,Mail Main Attachment management,No,No,No,No,NO ACCESS
mail.thread.phone,Phone Blacklist Mixin,No,No,No,No,NO ACCESS
mail.tracking.duration.mixin,Mixin to compute the time a record has spent in each value a many2one field can take,No,No,No,No,NO ACCESS
mail.tracking.value,Mail Tracking Value,No,No,No,No,NO ACCESS
mailing.contact,Mailing Contact,Yes,No,No,No,READ-ONLY
mailing.filter,Mailing Favorite Filters,Yes,No,No,No,READ-ONLY
mailing.list,Mailing List,Yes,No,No,No,READ-ONLY
mailing.mailing,Mass Mailing,Yes,No,No,No,READ-ONLY
mailing.subscription,Mailing List Subscription,Yes,No,No,No,READ-ONLY
mailing.subscription.optout,Mailing Subscription Reason,Yes,No,No,No,READ-ONLY
mailing.trace,Mailing Statistics,Yes,No,No,No,READ-ONLY
mailing.trace.report,Mass Mailing Statistics,Yes,No,No,No,READ-ONLY
maintenance.equipment,Maintenance Equipment,Yes,No,No,No,READ-ONLY
maintenance.equipment.category,Maintenance Equipment Category,Yes,No,No,No,READ-ONLY
maintenance.mixin,Maintenance Maintained Item,Yes,No,No,No,READ-ONLY
maintenance.request,Maintenance Request,Yes,Yes,Yes,Yes,FULL (RWCD)
maintenance.stage,Maintenance Stage,Yes,No,No,No,READ-ONLY
maintenance.team,Maintenance Teams,Yes,No,No,No,READ-ONLY
mcp.enabled.model,MCP Enabled Model,Yes,No,No,No,READ-ONLY
mcp.log,MCP Server Activity Log,Yes,No,No,No,READ-ONLY
message.edit.history,Mail Message Edit History,Yes,Yes,Yes,No,RWC
microsoft.outlook.mixin,Microsoft Outlook Mixin,Yes,No,No,No,READ-ONLY
mrp.bom,Bill of Material,Yes,Yes,No,No,RW
mrp.bom.byproduct,Byproduct,Yes,No,No,No,READ-ONLY
mrp.bom.line,Bill of Material Line,Yes,No,No,No,READ-ONLY
mrp.document,Production Document,Yes,No,No,No,READ-ONLY
mrp.production,Production Order,Yes,No,No,No,READ-ONLY
mrp.report,Manufacturing Report,Yes,No,No,No,READ-ONLY
mrp.routing.workcenter,Work Center Usage,Yes,No,No,No,READ-ONLY
mrp.unbuild,Unbuild Order,Yes,No,No,No,READ-ONLY
mrp.workcenter,Work Center,Yes,No,No,No,READ-ONLY
mrp.workcenter.capacity,Work Center Capacity,Yes,No,No,No,READ-ONLY
mrp.workcenter.productivity,Workcenter Productivity Log,Yes,No,No,No,READ-ONLY
mrp.workcenter.productivity.loss,Workcenter Productivity Losses,Yes,No,No,No,READ-ONLY
mrp.workcenter.productivity.loss.type,MRP Workorder productivity losses,Yes,No,No,No,READ-ONLY
mrp.workcenter.tag,Add tag for the workcenter,Yes,No,No,No,READ-ONLY
mrp.workorder,Work Order,Yes,No,No,No,READ-ONLY
onboarding.onboarding,Onboarding,Yes,No,No,No,READ-ONLY
onboarding.onboarding.step,Onboarding Step,Yes,No,No,No,READ-ONLY
onboarding.progress,Onboarding Progress Tracker,Yes,No,No,No,READ-ONLY
onboarding.progress.step,Onboarding Progress Step Tracker,Yes,No,No,No,READ-ONLY
partner.activity.report,Partner Activity Analysis,Yes,No,No,No,READ-ONLY
payment.method,Payment Method,Yes,No,No,No,READ-ONLY
payment.provider,Payment Provider,Yes,No,No,No,READ-ONLY
payment.token,Payment Token,Yes,No,No,No,READ-ONLY
payment.transaction,Payment Transaction,Yes,No,No,No,READ-ONLY
pending.activity.report,Pending Activity Report,Yes,No,No,No,READ-ONLY
phone.blacklist,Phone Blacklist,Yes,No,No,No,READ-ONLY
planning.analysis.report,Planning Analysis Report,Yes,No,No,No,READ-ONLY
planning.planning,Schedule,Yes,No,No,No,READ-ONLY
planning.recurrency,Planning Recurrence,Yes,No,No,No,READ-ONLY
planning.role,Planning Role,Yes,No,No,No,READ-ONLY
planning.slot,Planning Shift,Yes,No,No,No,READ-ONLY
planning.slot.template,Shift Template,Yes,No,No,No,READ-ONLY
portal.mixin,Portal Mixin,Yes,No,No,No,READ-ONLY
powerbi.connection,Power BI Connection Configuration,Yes,No,No,No,READ-ONLY
powerbi.connector.dashboard,PowerBI Connector Dashboard,Yes,No,No,No,READ-ONLY
powerbi.dashboard,Power BI Dashboards,Yes,No,No,No,READ-ONLY
powerbi.dataset,Power BI Dataset,Yes,No,No,No,READ-ONLY
powerbi.eventhouse,Power BI Eventhouse,Yes,No,No,No,READ-ONLY
powerbi.kql.database,Power BI KQL Database,Yes,No,No,No,READ-ONLY
powerbi.report,Power BI Reports,Yes,No,No,No,READ-ONLY
powerbi.table,Powerbi Table,Yes,No,No,No,READ-ONLY
powerbi.table.column,Power BI Table Columns,Yes,No,No,No,READ-ONLY
